# Single SKU Max Power Table (unit is 1 dBm)																																																							
# 2.4G channel	CCK				OFDM								VHT20										VHT40										TxStreamCapability_Delta			TxSpatialStream_Delta																			
Band: 2.4G	CCK_1M	CCK_2M	CCK_5.5M	CCK_11M	OFDM_6M	OFDM_9M	OFDM_12M	OFDM_18M	OFDM_24M	OFDM_36M	OFDM_48M	OFDM_54M	VHT20_MCS0	VHT20_MCS1	VHT20_MCS2	VHT20_MCS3	VHT20_MCS4	VHT20_MCS5	VHT20_MCS6	VHT20_MCS7	VHT20_MCS8	VHT20_MCS9	VHT40_MCS0	VHT40_MCS1	VHT40_MCS2	VHT40_MCS3	VHT40_MCS4	VHT40_MCS5	VHT40_MCS6	VHT40_MCS7	VHT40_MCS8	VHT40_MCS9	Txstream_3T	Txstream_2T	Txstream_1T	Txstream_1SS	Txstream_2SS	Txstream_3SS	Txstream_4SS																
ch132	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		16		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch136	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		16		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch140	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		16		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch144	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		16		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch149	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		16		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch153	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		16		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch157	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		16		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch161	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		16		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch165	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		16		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch169	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		16		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch173	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		16		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch177	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		16		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
ch181	18		18		18		18	18	18	18		18		16		16	14	14	18	18		18		15		16	14	14	18	18		18		16		16	14	14	9	9		9		9		9	9	9	1	3	6	6	3	1	0
